date,mean_ndvi
2005-02-02,0.3687525518432623
2005-02-10,0.3588692635492692
2005-02-18,0.3690535253755259
2005-02-26,0.3888944311581826
2005-03-06,0.39467771289150755
2005-03-14,0.3790235953813743
2005-03-22,0.40020917521632066
2005-03-30,0.35258463252880007
2005-04-07,0.331765870558149
2005-04-15,0.32047268598632683
2005-04-23,0.284809139049725
2005-05-01,0.2853558808695214
2005-05-09,0.2640537706208861
2005-05-17,0.25846834820484876
2005-05-25,0.25438282860018735
2005-06-02,0.25293495260134885
2005-06-10,0.24315063484829377
2005-06-18,0.2352866213244277
2005-06-26,0.230756781482128
2005-07-04,0.2261836322204659
2005-07-12,0.2291491494391982
2005-07-20,0.22687721624343032
2005-07-28,0.2317051576903756
2005-08-05,0.22707564361159488
2005-08-13,0.22863609238384142
